"","title","Author1","Author2","ISBN","REL_Date"
"1","A Court of Frost and Starlight BAM Exclusive","Sarah J Maas",NA," 9781547600380 "," May 2018"
"2","Whiskey in a Teacup - Autographed Copy (Hardcover)","Reese Witherspoon",NA," 9781982110185 "," September 2018"
"3","In Pieces - Autographed Copy","Sally Field",NA," 9781538764299 "," September 2018"
"4","The 18th Abduction (Hardcover)","James Patterson","Maxine Paetro"," 9780316420266 "," April 2019"
"5","Redemption (Hardcover)","David Baldacci",NA," 9781538761410 "," April 2019"
"6","BAM Exclusive Kingdom of Ash","Sarah J. Maas",NA," 9781547600427 "," October 2018"
"7","A Life Worth Living :  What I Learned Along the Way (Paperback)","Chuck Reinhold",NA," 9781642791297 "," August 2018"
"8","The Umbrella Academy Volume 3 :  Hotel Oblivion (Paperback)","Gerard Way","Gabriel Ba"," 9781506711423 "," August 2019"
"9","Neon Prey (Hardcover)","John Sandford",NA," 9780525536581 "," April 2019"
"10","Run Away (Hardcover)","Harlan Coben",NA," 9781538748466 "," March 2019"
"11","The Mister (Paperback)","E L James",NA," 9781984898326 "," April 2019"
"12","Celtic Empire (Hardcover)","Clive Cussler","Dirk Cussler"," 9780735218994 "," March 2019"
"13","The First Lady (Paperback)","James Patterson","Brendan DuBois"," 9781538714911 "," March 2019"
"14","Walt Disney's Ultimate Inventor :  The Genius of Ub Iwerks (Hardcover)","Don Iwerks",NA," 9781484743379 "," October 2019"
"15","The Adventure Zone :  Murder on the Rockport Limited! (Paperback)","Clint McElroy","Griffin McElroy"," 9781250153715 "," July 2019"
"16","The Cornwalls Are Gone (Hardcover)","James Patterson","Brendan DuBois"," 9780316485555 "," March 2019"
"17","The Disney Monorail :  Imagineering the Highway in the Sky (Hardcover)","Jeff Kurtti","Vanessa Hunt"," 9781484737675 "," October 2019"
"18","The Hidden Power of F*cking Up (Hardcover)","The Try Guys","Keith Habersberger"," 9780062879615 "," June 2019"
"19","The Red Scrolls of Magic (Hardcover)","Cassandra Clare","Wesley Chu"," 9781481495080 "," April 2019"
